,0
Limba utilizare,3
Tip incarcator,6
DNLA,11
Ecran secundar,12
Blitz Camera Fata,13
Rezistent la apa si praf,16
Editie,34
Versiunea terminalului,37
Frecventa (MHz),97
Infrarosu,219
Lungime (mm),289
Wi-Fi Hotspot,289
Inaltime (mm),289
Latime (mm),289
Protectie,398
Audio,455
Incarcare Wireless,483
Wi-Fi Direct,492
RO-ALERT,618
Model Procesor,640
4G,674
SAR (W/kg),680
3G,682
Radio FM,742
5G,871
NFC,915
Rezolutie maxima (px),948
Dual band,1062
Sloturi sim,1174
Grafica,1192
Detasabila,1196
Capacitate,1227
Dual SIM,1235
Agenda,1255
Card / Tip,1300
Versiune Bluetooth,1328
Standard Wi-Fi,1374
Memorie RAM,1376
USB,1391
Tip ecran,1394
Tip,1400
MP3,1403
GPS,1405
Inregistrare video,1406
Blitz Camera Spate,1408
Numar nuclee,1423
Chipset Procesor,1423
Dimensiuni (L x l x G) (mm),1441
Camera Fata (MP),1444
Versiune Sistem de operare,1446
Wi-Fi,1449
Tip SIM,1451
Istoric apeluri,1456
Retea 4G,1458
Bluetooth,1459
Sistem de operare,1459
Greutate (grame),1459
Retea 2G,1466
Camera,1466
Vibratii,1466
Boxe,1469
Retea 3G,1471
Touchscreen,1472
Camera Spate (MP),1473
Diagonala (inch),1476
name,1478
price,1478
rating,1478
number_of_reviews,1478
is_in_stoc,1478
url,1478
online_mag,1478
Culoare,1478
manufacturer,1478
category,1478
Smartphone,1478
Model,1478
Memorie Flash,1478
product_code,1478
timestamp,1478
